Epoch 10/10, Train Loss: 0.0050, Train Accuracy: 99.81%, Val Loss: 2.3800, Val Accuracy: 64.29%


Training with Learning Rate: 0.001, Batch Size: 64, Optimizer: SGD
Epoch 1/10, Train Loss: 0.6400, Train Accuracy: 76.06%, Val Loss: 0.7124, Val Accuracy: 59.02%
Epoch 2/10, Train Loss: 0.1754, Train Accuracy: 94.91%, Val Loss: 0.7460, Val Accuracy: 64.66%
Epoch 3/10, Train Loss: 0.0871, Train Accuracy: 97.83%, Val Loss: 0.5419, Val Accuracy: 65.41%
Epoch 4/10, Train Loss: 0.0539, Train Accuracy: 98.77%, Val Loss: 0.1992, Val Accuracy: 98.12%
Epoch 5/10, Train Loss: 0.0358, Train Accuracy: 99.43%, Val Loss: 0.5601, Val Accuracy: 65.04%
Epoch 6/10, Train Loss: 0.0214, Train Accuracy: 99.91%, Val Loss: 0.1473, Val Accuracy: 98.12%
Epoch 7/10, Train Loss: 0.0216, Train Accuracy: 99.72%, Val Loss: 0.2930, Val Accuracy: 98.12%
Epoch 8/10, Train Loss: 0.0127, Train Accuracy: 100.00%, Val Loss: 0.0612, Val Accuracy: 98.12%
Epoch 9/10, Train Loss: 0.0117, Train Accuracy: 100.00%, Val Loss: 0.0667, Val Accuracy: 98.12%
Epoch 10/10, Train Loss: 0.0072, Train Accuracy: 100.00%, Val Loss: 0.0539, Val Accuracy: 98.12%


Training with Learning Rate: 0.0005, Batch Size: 16, Optimizer: Adam
Epoch 1/10, Train Loss: 0.2659, Train Accuracy: 89.63%, Val Loss: 0.0958, Val Accuracy: 97.37%
Epoch 2/10, Train Loss: 0.1199, Train Accuracy: 96.14%, Val Loss: 0.1108, Val Accuracy: 96.62%
Epoch 3/10, Train Loss: 0.0787, Train Accuracy: 97.08%, Val Loss: 0.2482, Val Accuracy: 96.24%
Epoch 4/10, Train Loss: 0.0983, Train Accuracy: 96.23%, Val Loss: 0.3620, Val Accuracy: 96.62%
Epoch 5/10, Train Loss: 0.0579, Train Accuracy: 97.64%, Val Loss: 0.1167, Val Accuracy: 96.62%
Epoch 6/10, Train Loss: 0.0414, Train Accuracy: 98.77%, Val Loss: 0.1695, Val Accuracy: 95.11%
Epoch 7/10, Train Loss: 0.0910, Train Accuracy: 96.89%, Val Loss: 0.0892, Val Accuracy: 96.99%
Epoch 8/10, Train Loss: 0.0815, Train Accuracy: 97.55%, Val Loss: 0.4229, Val Accuracy: 64.29%
Epoch 9/10, Train Loss: 0.1147, Train Accuracy: 96.61%, Val Loss: 3.2775, Val Accuracy: 44.74%
Epoch 10/10, Train Loss: 0.0569, Train Accuracy: 98.02%, Val Loss: 0.0979, Val Accuracy: 95.11%


Training with Learning Rate: 0.0005, Batch Size: 16, Optimizer: SGD
Epoch 1/10, Train Loss: 0.3772, Train Accuracy: 88.50%, Val Loss: 0.8611, Val Accuracy: 59.02%
